id,original,detected_language,confidence,translated_text
333,fonaments de la comunicació,cat,0.968534469604492,bedrocks of the communication
334,projectes de disseny gràfic,cat,0.92759644985199,projects of graphic design
335,redacció per a professionals de la comunicació (castellà),cat,0.989445924758911,writing for professionals of the communication (Spanish)
336,redacció per a professionals de la comunicació (català),cat,0.99344265460968,writing for professionals of the communication (Catalan)
337,tecnologia i llenguatges audiovisuals,cat,0.903005182743073,tech and audiovisual languages
338,història i estructura de la comunicació,cat,0.990274846553802,history and structure of the communication
339,trastorns del comportament alimentari,cat,0.747498691082001,*trastorns of the alimentary behaviour
340,trastorns psicòtics i de la personalitat,cat,0.837666749954224,*trastorns psychotic and of the personality
341,trastorns emocionals i conductuals en infants i adolescents,cat,0.833211898803711,*trastorns emotional and *conductuals at girls and adolescents
342,habilitats bàsiques i deontologia professional en psicologia sanitària,cat,0.855018377304077,basic abilities and professional deontology at sanitary psychology
343,pràctiques externes 2,cat,0.837387979030609,external practices 2
344,pràctiques externes 1,cat,0.831680059432983,external practices 1
345,fonaments de la psicologia sanitària,cat,0.887459874153137,bedrocks of the sanitary psychology
346,bases biològiques de la conducta patològica,cat,0.978211522102356,biological bases of the pathological behaviour
347,avaluació cognitiva en neuropsicologia,cat,0.947551727294922,cognitive appraisal at neuropsychology
348,treball de fi de màster,cat,0.826329469680786,work of end of *màster
349,psicofarmacologia clínica,cat,0.837492167949677,*psicofarmacologia clinical
350,trastorns de l'agressivitat i la conducta violenta,cat,0.796403527259827,*trastorns of the aggressiveness and the violent behaviour
351,noves tecnologies en psicologia general sanitària,cat,0.854296624660492,new techs at sanitary general psychology
352,intervenció en malalties cròniques,cat,0.958904325962067,intervention at chronic sicknesses
353,psicologia del dolor,cat,0.820838451385498,psychology of the ache
354,trastorns emocionals en el cicle vital,cat,0.887068748474121,*trastorns emotional at the vital cycle
355,intervenció neuropsicològica i neurorehabilitació,cat,0.991378545761108,intervention *neuropsicològica and *neurorehabilitació
356,psicopatologia de la primera infància,cat,0.893817126750946,*psicopatologia of the first infancy
357,mètodes d'avaluació en psicologia sanitària,cat,0.978154599666595,methods of appraisal at sanitary psychology
358,ensenyament i aprenentatge de l'educació física 2,cat,0.982153654098511,education and learning of the physical nurture 2
359,aprenentatge i desenvolupament de la personalitat,cat,0.927666068077087,learning and development of the personality
360,pràctiques externes ii (g.ep),cat,0.739319622516632,external practices *ii (g.ep)
361,competència comunicativa i intercultural en llengua estrangera,cat,0.965750217437744,communicative and intercultural competence at foreign tongue
362,ensenyament i aprenentatge de llengües i lecto-escriptura 3,cat,0.966950953006744,education and learning of tongues and *lecto-scripture 3
363,"ensenyament i aprenentatge de l'educació musical, visual i plàstica 1",cat,0.975713849067688,"education and learning of the musical nurture, visual and plastic 1"
364,l'escola d'educació infantil,cat,0.967440724372864,the school of childish nurture
365,ensenyament i aprenentatge de les ciències experimentals 1,cat,0.951103985309601,education and learning of the experimental sciences 1
366,ensenyament i aprenentatge de les llengües 3,cat,0.9117391705513,education and learning of the tongues 3
367,ensenyament i aprenentatge de les matemàtiques 3,cat,0.952135980129242,education and learning of the mathematicians 3
368,"societat, família i educació",cat,0.990484774112701,"society, family and nurture"
369,processos i contextos educatius,cat,0.826275169849396,processes and educational contexts
370,habilitats comunicatives,cat,0.729893088340759,communicative abilities
371,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 2",cat,0.982943534851074,"education and learning of the experimental sciences, social sciences and the mathematicians 2"
372,treball de fi de grau ii (g.ep),cat,0.516724586486816,work of end of rank *ii (g.ep)
373,treball de fi de grau i (g.ei),cat,0.443135619163513,work of end of rank and (g.ei)
374,"ensenyament i aprenentatge de la música, l'expressió plàstica i l'expressió corporal 1",cat,0.996191561222076,"education and learning of the musician, the plastic expression and the corporal expression 1"
375,"ensenyament i aprenentatge de la música, l'expressió plàstica i l'expressió corporal 2",cat,0.996249794960022,"education and learning of the musician, the plastic expression and the corporal expression 2"
376,practicum i (g.ei),cat,0.449705272912979,*practicum and (g.ei)
377,coneixement i ús de la llengua estrangera 2,cat,0.960784316062927,ken and use of the foreign tongue 2
378,didàctica de la llengua estrangera,cat,0.94073611497879,didactic of the foreign tongue
379,ensenyament i aprenentatge de llengües i lecto-escriptura 1,cat,0.966846227645874,education and learning of tongues and *lecto-scripture 1
380,ensenyament i aprenentatge de llengües i lecto-escriptura 2,cat,0.967597126960754,education and learning of tongues and *lecto-scripture 2
381,competència comunicativa oral i cultura popular,cat,0.941218256950378,oral communicative competence and popular culture
382,ensenyament i aprenentatge de les llengües 2,cat,0.9139643907547,education and learning of the tongues 2
383,ensenyament i aprenentatge de l'educació física 1,cat,0.981663405895233,education and learning of the physical nurture 1
384,pràctiques externes i (g.ep),cat,0.783974170684815,external practices and (g.ep)
385,coneixement i ús de la llengua estrangera 1,cat,0.959746479988098,ken and use of the foreign tongue 1
386,escola inclusiva i atenció primerenca,cat,0.966472208499908,inclusive school and early attention
387,"infància, salut i alimentació",cat,0.966816306114197,"infancy, health and supply"
388,ensenyament i aprenentatge de les ciències socials 2,cat,0.957440614700317,education and learning of the social sciences 2
389,dificultats d'aprenentatge i trastorns del desenvolupament,cat,0.932777881622314,difficulties of learning and *trastorns developmental
390,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 1",cat,0.98265665769577,"education and learning of the experimental sciences, social sciences and the mathematicians 1"
391,practicum ii (g.ei),cat,0.383710354566574,*practicum *ii (g.ei)
392,"organització de l'espai escolar, materials i habilitats docents",cat,0.976317465305328,"organisation of the school room, materials and educational abilities"
393,ensenyament i aprenentatge de les matemàtiques 2,cat,0.953299522399902,education and learning of the mathematicians 2
394,assessorament i orientació en educació,cat,0.983185589313507,advice and orientation at nurture
395,pràcticum,cat,0.956624090671539,*pràcticum
396,habilitats comunicatives,cat,0.729893088340759,communicative abilities
397,aprenentatge i desenvolupament de la personalitat,cat,0.927666068077087,learning and development of the personality
398,política i gestió educativa,cat,0.974724054336548,politician and educational management
399,disseny de recursos educatius i d'entorns tecnològics per a la formació,cat,0.985422253608704,design of educational resources and of technological environments for the training
400,procés formatiu i aprenentatge adult,cat,0.916754305362701,formative process and learning adult
601,intervenció psicoeducativa en la primera infància,cat,0.975345075130463,intervention *psicoeducativa at the first infancy
602,observació i anàlisi de pràctiques educatives,cat,0.98900043964386,observation and analysis of educational practices
603,salut laboral,cat,0.735541880130768,labour health
604,psicologia de la diversitat cultural,cat,0.808735430240631,psychology of the cultural diversity
605,bilingüisme i adquisició de segones llengües,cat,0.982164978981018,bilingualism and acquisition of second tongues
606,intervenció psicoeducativa en trastorns del desenvolupament,cat,0.959352493286133,intervention *psicoeducativa at *trastorns developmental
607,psicologia ambiental,cat,0.746567606925964,ambient psychology
608,avaluació clínica,cat,0.980878710746765,clinical appraisal
609,trastorns del llenguatge,cat,0.920710027217865,*trastorns of the language
610,tècniques multivariants: aplicacions informàtiques amb spss,cat,0.966275453567505,technicians *multivariants: computer apps with *spss
611,psicologia política,cat,0.913822829723358,political psychology
612,models d'equacions estructurals en ciències del comportament,cat,0.921310603618622,models of structural equations at sciences of the behaviour
613,"emoció, ansietat i estrès",cat,0.884858250617981,"emotion, anxiety and stress"
614,psicopatologia del nen i de l'adolescent 1,cat,0.731030881404877,*psicopatologia of the boy and of the adolescent 1
615,tècniques projectives,cat,0.731785416603088,projective technicians
616,teràpia grupal,cat,0.905922174453735,therapy *grupal
617,psicologia de la delinqüència i de la conducta antisocial,cat,0.936179220676422,psychology of the delinquency and of the antisocial behaviour
618,psicologia del dolor,cat,0.820838451385498,psychology of the ache
619,genètica de la conducta,cat,0.864639699459076,genetics of the behaviour
620,psicobiologia de l'agressivitat,cat,0.773842394351959,*psicobiologia of the aggressiveness
621,cultura i canvi organitzatiu,cat,0.960589051246643,culture and organisational change
622,psicobiologia de la conducta sexual,cat,0.734950304031372,*psicobiologia of the sexual behaviour
623,dissenys experimentals multivariants,cat,0.740601897239685,experimental designs *multivariants
624,direcció i participació en les organitzacions,cat,0.997228741645813,address and turnout at the organisations
625,formació de personal,cat,0.955098092556,training of personnel
626,intel·ligència artificial i xarxes neuronals,cat,0.993323624134064,artificial intelligence and neuronal meshes
627,psicoendocrinologia,cat,0.760189175605774,*psicoendocrinologia
628,alteracions de la memòria,cat,0.799040734767914,alterations of the memory
629,la memòria en la vida quotidiana,cat,0.798707842826843,the memory at the daily life
630,bases psicològiques del disseny ergonòmic,cat,0.940753638744354,psychological bases of the ergonomic design
631,ergonomia aplicada al treball,cat,0.915257930755615,ergonomics applied at the work
632,psicobiologia del cicle vital,cat,0.787636578083038,*psicobiologia of the vital cycle
633,paquets informàtics en l'anàlisi de dades,cat,0.987373411655426,computer packages at the analysis of data
634,administració de test a través d'internet,cat,0.940882623195648,administration of test through internet
635,tècnica psicoanalítica,cat,0.940617561340332,psychoanalytic technician
636,aplicació de l'anàlisi factorial en el disseny de tests psicològics,cat,0.992474734783173,app of the factorial analysis at the design of psychological tests
637,administració de tasques experimentals a través d'internet,cat,0.926698207855225,administration of experimental tasks through internet
638,processos psicològics bàsics en la comunicació publicitària,cat,0.995082318782806,basic psychological processes at the advertising communication
639,models biològics dels trastorns mentals,cat,0.979337573051453,biological models of the *trastorns mental
640,cognició i comunicació animal,cat,0.994025647640228,cognition and animal communication
641,psicobiologia de les emocions i la intel·ligència,cat,0.994446754455566,*psicobiologia of the emotions and the intelligence
642,selecció de personal,cat,0.981995820999146,selection of personnel
643,dificultats d'aprenentatge i trastorns del desenvolupament,cat,0.932777881622314,difficulties of learning and *trastorns developmental
644,escola inclusiva i atenció primerenca,cat,0.966472208499908,inclusive school and early attention
645,didàctica de la llengua estrangera,cat,0.94073611497879,didactic of the foreign tongue
646,treball de fi de grau,cat,0.623390972614288,work of end of rank
647,pràcticum 2,cat,0.953568041324615,*pràcticum 2
648,pedagogia i didàctica de la religió a l'escola,cat,0.966462850570679,pedagogy and didactic of the religion at the school
649,"atenció educativa a l'alumnat amb discapacitat sensorial, motriu i intel.lectual",cat,0.98320484161377,"educational attention at the students with sensory disability, automotive and intellectual"
650,"societat, família i educació",cat,0.990484774112701,"society, family and nurture"
651,"ensenyament i aprenentatge de la música, l'expressió plàstica i l'expressió corporal 1",cat,0.996191561222076,"education and learning of the musician, the plastic expression and the corporal expression 1"
652,didàctica de l'educació psicomotriu a l'educació infantil 1,cat,0.987608075141907,didactic of the nurture *psicomotriu at the childish nurture 1
653,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 3",cat,0.982710063457489,"education and learning of the experimental sciences, social sciences and the mathematicians 3"
654,"ensenyament i aprenetatge de la música, l'expressió plàstica i l'expressió corporal 2",cat,0.996304333209991,"education and *aprenetatge of the musician, the plastic expression and the corporal expression 2"
655,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 2",cat,0.982943534851074,"education and learning of the experimental sciences, social sciences and the mathematicians 2"
656,pràcticum 1,cat,0.951319098472595,*pràcticum 1
657,processos i contextos educatius,cat,0.826275169849396,processes and educational contexts
658,"infància, salut i alimentació",cat,0.966816306114197,"infancy, health and supply"
659,habilitats comunicatives,cat,0.729893088340759,communicative abilities
660,intervenció psicoeducativa en les dificultats de comunicació i llenguatge,cat,0.985652685165405,intervention *psicoeducativa at the difficulties of communication and language
661,educació psicomotriu i atenció a la diversitat en el marc de l'escola inclusiva,cat,0.982854664325714,nurture *psicomotriu and attention at the diversity at the frame of the inclusive school
662,"ensenyament i aprenentatge de la música, l'expressió plàstica i l'expressió corporal 3",cat,0.996206939220428,"education and learning of the musician, the plastic expression and the corporal expression 3"
663,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 1",cat,0.98265665769577,"education and learning of the experimental sciences, social sciences and the mathematicians 1"
664,audició: les històries de la música,cat,0.978875577449799,audition: the histories of the musician
665,estudis en el marc dels convenis de mobilitat,cat,0.959897756576538,surveys at the frame of the agreements of mobility
666,"organització de l'espai escolar, materials i habilitats docents",cat,0.976317465305328,"organisation of the school room, materials and educational abilities"
667,ensenyament i aprenentatge de llengües i lecto-escriptura 1,cat,0.966846227645874,education and learning of tongues and *lecto-scripture 1
668,l'escola d'educació infantil,cat,0.967440724372864,the school of childish nurture
669,ensenyament i aprenentatge de llengües i lecto-escriptura 3,cat,0.966950953006744,education and learning of tongues and *lecto-scripture 3
670,formació psico-corporal,cat,0.964315950870514,training *psico-corporal
671,ensenyament i aprenentatge de llengües i lecto-escriptura 2,cat,0.967597126960754,education and learning of tongues and *lecto-scripture 2
672,dansa: la música en moviment,cat,0.85570216178894,dance: the musician at movement
673,aprenentatge i desenvolupament de la personalitat,cat,0.927666068077087,learning and development of the personality
674,formació vocal i auditiva,cat,0.978320360183716,vocal and auditory training
675,didàctica de la música i la dansa a infantil,cat,0.936815738677979,didactic of the musician and the dance at childish
676,l'observació i l'avaluació del joc de l'infant,cat,0.987277269363403,the observation and the appraisal of the game of the girl
677,"religió, cultura i valors",cat,0.942077159881592,"religion, culture and values"
678,metodologia d'investigació en tecnologia educativa,cat,0.955385148525238,methodology of inquest at educational tech
679,entorns flexibles de formació,cat,0.945244431495667,flexible environments of training
680,desenvolupament professional del docent en relació amb les td,cat,0.989039480686188,professional development of the educational in regard to the *td
681,gestió del coneixement en les organitzacions,cat,0.983981251716614,management of the ken at the organisations
682,difusió i transferència,cat,0.999440491199493,diffusion and transfer
683,treball fi de màster,cat,0.83011668920517,fine work of *màster
684,espais i eines per al treball col·laboratiu,cat,0.982404768466949,rooms and tools for the collaborative work
685,organització i gestió de l'ús de les td a l'ensenyament,cat,0.978771090507507,organisation and management of the use of the *td at the education
686,creació de continguts per a formació online,cat,0.987287700176239,creation of contents for online training
687,tecnologies digitals en la formació,cat,0.934380948543549,digital techs at the training
688,"comunicació, interacció i col·laboració",cat,0.999979615211487,"communication, interaction and collaboration"
689,eines digitals per a la docència,cat,0.898041725158691,digital tools for the teaching
690,comunicació audiovisual en xarxa,cat,0.970787942409515,audiovisual communication at mesh
691,disseny de projectes d'innovació en educació,cat,0.98786598443985,design of projects of innovation at nurture
692,"producció i integració de la imatge, l'audio i el vídeo digital",cat,0.995750904083252,"production and integration of the image, the *audio and the digital video"
693,disseny de projectes curriculars amb l'ús de les td,cat,0.944806635379791,design of projects *curriculars with the use of the *td
694,ètica digital aplicada,cat,0.950782060623169,ethic digital applied
695,disseny i desenvolupament d'entorns tecnològics per a la formació,cat,0.985859811306,design and development of technological environments for the training
696,societat en xarxa i ciutadania digital,cat,0.963736176490784,society at mesh and digital citizenry
697,pràctiques acadèmiques externes,cat,0.835343658924103,external academic practices
698,eines i tècniques per a la recollida i l'anàlisi de dades,cat,0.939574599266052,tools and technicians for the collection and the analysis of data
699,avaluació de mitjans i materials d'ensenyaments,cat,0.949649751186371,appraisal of modes and materials of educations
700,disseny i desenvolupament de materials de formació,cat,0.9506915807724,design and development of materials of training
701,disseny d'investigació,cat,0.958668172359467,design of inquest
702,les td en l'àmbit no formal,cat,0.756036818027496,the *td at the no formal field
703,ensenyament i aprenentatge de les matemàtiques 2,cat,0.953299522399902,education and learning of the mathematicians 2
704,"infància, salut i alimentació",cat,0.966816306114197,"infancy, health and supply"
705,"societat, família i educació",cat,0.990484774112701,"society, family and nurture"
706,ensenyament i aprenentatge de l'educació física 1,cat,0.981663405895233,education and learning of the physical nurture 1
707,ensenyament i aprenentatge de l'educació física 2,cat,0.982153654098511,education and learning of the physical nurture 2
708,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 1",cat,0.98265665769577,"education and learning of the experimental sciences, social sciences and the mathematicians 1"
709,aprenentatge i desenvolupament de la personalitat,cat,0.927666068077087,learning and development of the personality
710,pràctiques externes 1,cat,0.831680059432983,external practices 1
711,competència comunicativa oral i cultura popular,cat,0.941218256950378,oral communicative competence and popular culture
712,ensenyament i aprenentatge de les ciències experimentals 1,cat,0.951103985309601,education and learning of the experimental sciences 1
713,ensenyament i aprenentatge de llengües i lecto-escriptura 3,cat,0.966950953006744,education and learning of tongues and *lecto-scripture 3
714,habilitats comunicatives,cat,0.729893088340759,communicative abilities
715,"organització de l'espai escolar, materials i habilitats docents",cat,0.976317465305328,"organisation of the school room, materials and educational abilities"
716,ensenyament i aprenentatge de llengües i lecto-escriptura 2,cat,0.967597126960754,education and learning of tongues and *lecto-scripture 2
717,coneixement i ús de la llengua estrangera 1,cat,0.959746479988098,ken and use of the foreign tongue 1
718,"ensenyament i aprenentatge de l'educació musical, visual i plàstica 1",cat,0.975713849067688,"education and learning of the musical nurture, visual and plastic 1"
719,competència comunicativa i intercultural en llengua estrangera,cat,0.965750217437744,communicative and intercultural competence at foreign tongue
720,l'escola d'educació infantil,cat,0.967440724372864,the school of childish nurture
721,"ensenyament i aprenentatge de la música, l'expressió plàstica i l'expressió corporal 1",cat,0.996191561222076,"education and learning of the musician, the plastic expression and the corporal expression 1"
722,"ensenyament i aprenetatge de la música, l'expressió plàstica i l'expressió corporal 2",cat,0.996304333209991,"education and *aprenetatge of the musician, the plastic expression and the corporal expression 2"
723,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 2",cat,0.982943534851074,"education and learning of the experimental sciences, social sciences and the mathematicians 2"
724,ensenyament i aprenentatge de llengües i lecto-escriptura 1,cat,0.966846227645874,education and learning of tongues and *lecto-scripture 1
725,ensenyament i aprenentatge de les llengües 3,cat,0.9117391705513,education and learning of the tongues 3
726,escola inclusiva i atenció primerenca,cat,0.966472208499908,inclusive school and early attention
727,ensenyament i aprenentatge de les llengües 2,cat,0.9139643907547,education and learning of the tongues 2
728,pràcticum 1,cat,0.951319098472595,*pràcticum 1
729,coneixement i ús de la llengua estrangera 2,cat,0.960784316062927,ken and use of the foreign tongue 2
730,didàctica de la llengua estrangera,cat,0.94073611497879,didactic of the foreign tongue
731,ensenyament i aprenentatge de les matemàtiques 3,cat,0.952135980129242,education and learning of the mathematicians 3
732,ensenyament i aprenentatge de les ciències socials 2,cat,0.957440614700317,education and learning of the social sciences 2
733,processos i contextos educatius,cat,0.826275169849396,processes and educational contexts
734,dificultats d'aprenentatge i trastorns del desenvolupament,cat,0.932777881622314,difficulties of learning and *trastorns developmental
735,treball de fi de grau,cat,0.623390972614288,work of end of rank
736,treball de fi de grau,cat,0.623390972614288,work of end of rank
737,pràcticum 2,cat,0.953568041324615,*pràcticum 2
738,pràctiques externes 2,cat,0.837387979030609,external practices 2
739,aprenentatge i ensenyament de l'economia i economia de l'empresa,cat,0.941188097000122,learning and education of the economics and economics of the company
740,aprenentatge i ensenyament de l'administració,cat,0.972802639007568,learning and education of the administration
741,processos i contextos educatius,cat,0.826275169849396,processes and educational contexts
742,avaluació i dificultats d'aprenentatge,cat,0.975957453250885,appraisal and difficulties of learning
743,el currículum en ciències socials a l'eso i al batxillerat: complements de formació d'història i his,cat,0.986557304859161,the curriculum at social sciences at the *eso and at the *batxillerat: *complements of training of history and *his
744,complements de formació disciplinària en administració,cat,0.988776206970215,*complements of disciplinary training at administration
745,complements de formació disciplinària en química,cat,0.974435687065125,*complements of disciplinary training at chemistry
746,pràctiques externes,cat,0.839868068695068,external practices
747,adquisició i ensenyament de llengües estrangeres,cat,0.965660512447357,acquisition and education of foreign tongues
748,complements de formació disciplinària en física,cat,0.978028178215027,*complements of disciplinary training at physicist
749,aprenentatge i ensenyament de la física i química,cat,0.962492644786835,learning and education of the physicist and chemistry
750,complements de formació disciplinària en economia de l'empresa,cat,0.972333788871765,*complements of disciplinary training at economics of the company
751,orientació professional i ciutadania,cat,0.981228172779083,professional orientation and citizenry
752,aprenentatge i ensenyament de la tecnologia,cat,0.910442650318146,learning and education of the tech
753,currículum per la secundària d'economia: valor cultural i formatiu,cat,0.925522863864899,curriculum for the secondary of economics: cultural and formative value
754,la física i la química a secundària i el seu context,cat,0.987850368022919,the physicist and the chemistry at secondary and his context
755,la biologia i la geologia a secundària i el seu context,cat,0.971391320228577,the biology and the geology at secondary and his context
756,innovació docent i iniciació a la recerca educativa,cat,0.990714907646179,educational innovation and initiation at the educational enquiry
757,el currículum en ciències socials a l'eso i al batxillerat: complements de formació de geografia,cat,0.981506884098053,the curriculum at social sciences at the *eso and at the *batxillerat: *complements of training of geography
758,la docència de tecnologia en el context social,cat,0.955277979373932,the teaching of tech at the social context
759,complements de formació disciplinària en biologia,cat,0.95835417509079,*complements of disciplinary training at biology
760,aprenentatge i ensenyament de la biologia i la geologia,cat,0.90188080072403,learning and education of the biology and the geology
761,aprenentatge i ensenyament de la geografia,cat,0.925281643867493,learning and education of the geography
762,aprenentatge i ensenyament de llengües estrangeres,cat,0.940286695957184,learning and education of foreign tongues
763,"societat, família i educació",cat,0.990484774112701,"society, family and nurture"
764,la tecnologia en secundària,cat,0.948779881000519,the tech at secondary
765,complements de formació disciplinària en llengua i literatura catalana,cat,0.963589906692505,*complements of disciplinary training at tongue and Catalan literature
766,la cultura i la literatura a classe de llengua estrangera,cat,0.820370197296143,the culture and the literature at class of foreign tongue
767,complements de formació disciplinària en geologia,cat,0.961923360824585,*complements of disciplinary training at geology
768,treball de fi de màster,cat,0.826329469680786,work of end of *màster
769,complements de formació disciplinària en economia,cat,0.96838515996933,*complements of disciplinary training at economics
770,aprenentatge i ensenyament de les llengües i literatura catalana i espanyola,cat,0.92015939950943,learning and education of the tongues and Catalan and Spanish literature
771,aprenentatge i ensenyament de la història i la història de l'art,cat,0.969174444675446,learning and education of the history and the history of the art
772,aprenentatge i desenvolupament de la personalitat,cat,0.927666068077087,learning and development of the personality
773,complements de formació disciplinària en llengua i literatura espanyola,cat,0.96417111158371,*complements of disciplinary training at tongue and Spanish literature
774,avaluació i dificultats d'aprenentatge,cat,0.975957453250885,appraisal and difficulties of learning
775,aprenentatge i ensenyament de les llengües i literatura catalana i espanyola (2a especialitat),cat,0.902119874954224,learning and education of the tongues and Catalan and Spanish literature (2nd speciality)
776,treball de fi de màster (2a especialitat),cat,0.803802311420441,work of end of *màster (2nd speciality)
777,pràctiques externes (2a especialitat),cat,0.814875483512878,external practices (2nd speciality)
778,"organització de l'espai escolar, materials i habilitats docents",cat,0.976317465305328,"organisation of the school room, materials and educational abilities"
779,"ensenyament i aprenentatge de la música, l'expressió plàstica i l'expressió corporal 2",cat,0.996249794960022,"education and learning of the musician, the plastic expression and the corporal expression 2"
780,pedagogia i didàctica de la religió a l'escola,cat,0.966462850570679,pedagogy and didactic of the religion at the school
781,processos i contextos educatius,cat,0.826275169849396,processes and educational contexts
782,l'observació i l'avaluació del joc de l'infant,cat,0.987277269363403,the observation and the appraisal of the game of the girl
783,treball de fi de grau,cat,0.623390972614288,work of end of rank
784,pràctiques externes 2,cat,0.837387979030609,external practices 2
785,"atenció educativa a l'alumnat amb discapacitat sensorial, motriu i intel.lectual",cat,0.98320484161377,"educational attention at the students with sensory disability, automotive and intellectual"
786,l'escola d'educació infantil,cat,0.967440724372864,the school of childish nurture
787,"societat, família i educació",cat,0.990484774112701,"society, family and nurture"
788,formació psico-corporal,cat,0.964315950870514,training *psico-corporal
789,aprenentatge i desenvolupament de la personalitat,cat,0.927666068077087,learning and development of the personality
790,"infància, salut i alimentació",cat,0.966816306114197,"infancy, health and supply"
791,pràcticum 1,cat,0.951319098472595,*pràcticum 1
792,didàctica de l'educació psicomotriu a l'educació infantil 1,cat,0.987608075141907,didactic of the nurture *psicomotriu at the childish nurture 1
793,dansa: la música en moviment,cat,0.85570216178894,dance: the musician at movement
794,educació psicomotriu i atenció a la diversitat en el marc de l'escola inclusiva,cat,0.982854664325714,nurture *psicomotriu and attention at the diversity at the frame of the inclusive school
795,"religió, cultura i valors",cat,0.942077159881592,"religion, culture and values"
796,formació vocal i auditiva,cat,0.978320360183716,vocal and auditory training
797,dificultats d'aprenentatge i trastorns del desenvolupament,cat,0.932777881622314,difficulties of learning and *trastorns developmental
798,intervenció psicoeducativa en les dificultats de comunicació i llenguatge,cat,0.985652685165405,intervention *psicoeducativa at the difficulties of communication and language
799,ensenyament i aprenentatge de llengües i lecto-escriptura 2,cat,0.967597126960754,education and learning of tongues and *lecto-scripture 2
800,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 1",cat,0.98265665769577,"education and learning of the experimental sciences, social sciences and the mathematicians 1"
801,escola inclusiva i atenció primerenca,cat,0.966472208499908,inclusive school and early attention
802,ensenyament i aprenentatge de llengües i lecto-escriptura 1,cat,0.966846227645874,education and learning of tongues and *lecto-scripture 1
803,"ensenyament i aprenentatge de la música, l'expressió plàstica i l'expressió corporal 3",cat,0.996206939220428,"education and learning of the musician, the plastic expression and the corporal expression 3"
804,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 3",cat,0.982710063457489,"education and learning of the experimental sciences, social sciences and the mathematicians 3"
805,projecte artístic,cat,0.850038766860962,artistic project
806,habilitats comunicatives,cat,0.729893088340759,communicative abilities
807,"ensenyament i aprenentatge de la música, l'expressió plàstica i l'expressió corporal 1",cat,0.996191561222076,"education and learning of the musician, the plastic expression and the corporal expression 1"
808,ensenyament i aprenentatge de llengües i lecto-escriptura 3,cat,0.966950953006744,education and learning of tongues and *lecto-scripture 3
809,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 2",cat,0.982943534851074,"education and learning of the experimental sciences, social sciences and the mathematicians 2"
810,competència comunicativa oral i cultura popular,cat,0.941218256950378,oral communicative competence and popular culture
811,audició: les històries de la música,cat,0.978875577449799,audition: the histories of the musician
812,aprenentatge i desenvolupament de la personalitat,cat,0.927666068077087,learning and development of the personality
813,intervenció psicoeducativa en les dificultats de comunicació i llenguatge,cat,0.985652685165405,intervention *psicoeducativa at the difficulties of communication and language
814,dificultats d'aprenentatge i trastorns del desenvolupament,cat,0.932777881622314,difficulties of learning and *trastorns developmental
815,formació vocal i auditiva,cat,0.978320360183716,vocal and auditory training
816,l'observació i l'avaluació del joc de l'infant,cat,0.987277269363403,the observation and the appraisal of the game of the girl
817,habilitats comunicatives,cat,0.729893088340759,communicative abilities
818,"ensenyament i aprenentatge de la música, l'expressió plàstica i l'expressió corporal 3",cat,0.996206939220428,"education and learning of the musician, the plastic expression and the corporal expression 3"
819,ensenyament i aprenentatge de llengües i lecto-escriptura 1,cat,0.966846227645874,education and learning of tongues and *lecto-scripture 1
820,ensenyament i aprenentatge de llengües i lecto-escriptura 3,cat,0.966950953006744,education and learning of tongues and *lecto-scripture 3
821,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 2",cat,0.982943534851074,"education and learning of the experimental sciences, social sciences and the mathematicians 2"
822,pràctiques externes 2,cat,0.837387979030609,external practices 2
823,ensenyament i aprenentatge de llengües i lecto-escriptura 2,cat,0.967597126960754,education and learning of tongues and *lecto-scripture 2
824,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 1",cat,0.98265665769577,"education and learning of the experimental sciences, social sciences and the mathematicians 1"
825,"religió, cultura i valors",cat,0.942077159881592,"religion, culture and values"
826,"atenció educativa a l'alumnat amb discapacitat sensorial, motriu i intel.lectual",cat,0.98320484161377,"educational attention at the students with sensory disability, automotive and intellectual"
827,treball de fi de grau,cat,0.623390972614288,work of end of rank
828,pedagogia i didàctica de la religió a l'escola,cat,0.966462850570679,pedagogy and didactic of the religion at the school
829,audició: les històries de la música,cat,0.978875577449799,audition: the histories of the musician
830,processos i contextos educatius,cat,0.826275169849396,processes and educational contexts
831,educació psicomotriu i atenció a la diversitat en el marc de l'escola inclusiva,cat,0.982854664325714,nurture *psicomotriu and attention at the diversity at the frame of the inclusive school
832,pràcticum 1,cat,0.951319098472595,*pràcticum 1
833,estudis en el marc dels convenis de mobilitat,cat,0.959897756576538,surveys at the frame of the agreements of mobility
834,formació psico-corporal,cat,0.964315950870514,training *psico-corporal
